"NAME","FOCUS"
"Integration of Geological, Geochemical and Remote Sensing Data for finding Source Rocks for Oil deposits, etc","FUTA"
"Real-Time Logging Data Processing","FUTA"
"Petroleum play analysis and rock physics modeling of reservoirs of various Nigerian formations, Pedology, Geo-electrical investigation of underground water, mapping of magnetic anomalies in some parts of Nigerian basins, etc.","FUTA"
"Oilfields Chemical","FUTO"
"Anticorrosion Technologies","FUTO"
"Sustainable Materials & Remediation Technologies","FUTO"
"Higher Resolution Subsurface Imaging","FUTMINNA"
"Pipeline Modelling Software","FUTMINNA"
"Carbon Capture and Sequestration","FUTMINNA"
"Chronic Environmental Degradation","MAUTECH"
"Climate Change and its associated impact","MAUTECH"
"Clean development mechanism","MAUTECH"
"Drilling Engineering Services","NDU"
"Reservoir Engineering Services","NDU"
"Refinery Technology development","NDU"